,rounded-date,ABUNDANCE
74,1996-08-26,12.48
75,1996-09-02,32.0
76,1996-09-09,
77,1996-09-16,
78,1996-09-23,2.182666666666667
79,1996-09-30,2.8718181818181816
80,1996-10-07,1.7883333333333333
81,1996-10-14,3.7479999999999998
82,1996-10-21,3.5519999999999996
83,1996-10-28,4.24
84,1996-11-04,3.2
85,1996-11-11,2.32
86,1996-11-18,1.92
87,1996-11-25,2.0
88,1996-12-02,2.72
89,1996-12-09,1.48
90,1996-12-16,
91,1996-12-23,
92,1996-12-30,
93,1997-01-06,0.56
94,1997-01-13,0.4
95,1997-01-20,1.0
96,1997-01-27,
97,1997-02-03,0.34
98,1997-02-10,
99,1997-02-17,
100,1997-02-24,6.48
101,1997-03-03,4.6
102,1997-03-10,2.72
103,1997-03-17,5.926666666666667
104,1997-03-24,1.32
105,1997-03-31,6.646666666666667
106,1997-04-07,4.28
107,1997-04-14,9.2
108,1997-04-21,2.585
109,1997-04-28,1.4066666666666665
110,1997-05-05,1.3623529411764705
111,1997-05-12,2.1923076923076925
112,1997-05-19,3.1346666666666665
113,1997-05-26,4.875
114,1997-06-02,2.6699999999999995
115,1997-06-09,10.36
116,1997-06-16,6.316666666666666
117,1997-06-23,6.413469387755102
118,1997-06-30,1.8552941176470588
119,1997-07-07,4.155
120,1997-07-14,5.04
121,1997-07-21,3.84
122,1997-07-28,4.16
123,1997-08-04,3.6
124,1997-08-11,0.72
125,1997-08-18,6.96
126,1997-08-25,4.08
127,1997-09-01,2.8
128,1997-09-08,2.56
129,1997-09-15,2.16
130,1997-09-22,0.7072727272727273
131,1997-09-29,1.0384615384615385
132,1997-10-06,1.4769230769230768
133,1997-10-13,7.2457142857142856
134,1997-10-20,
135,1997-10-27,
136,1997-11-03,
137,1997-11-10,4.08
138,1997-11-17,0.64
139,1997-11-24,0.4
140,1997-12-01,0.4
141,1997-12-08,0.64
142,1997-12-15,0.4
143,1997-12-22,
144,1997-12-29,
145,1998-01-05,
146,1998-01-12,0.4
147,1998-01-19,1.2
148,1998-01-26,1.04
149,1998-02-02,0.82
150,1998-02-09,2.42
151,1998-02-16,
152,1998-02-23,5.06
153,1998-03-02,3.12
154,1998-03-09,
155,1998-03-16,2.56
156,1998-03-23,10.36
157,1998-03-30,17.84
158,1998-04-06,3.36
159,1998-04-13,2.48
160,1998-04-20,1.28
161,1998-04-27,1.12
162,1998-05-04,4.88
163,1998-05-11,7.52
164,1998-05-18,4.904444444444445
165,1998-05-25,1.9466666666666665
166,1998-06-01,1.78625
167,1998-06-08,2.076
168,1998-06-15,37.64
169,1998-06-22,3.36
170,1998-06-29,
171,1998-07-06,1.2
172,1998-07-13,2.24
173,1998-07-20,15.84
174,1998-07-27,0.64
175,1998-08-03,3.88
176,1998-08-10,27.38
177,1998-08-17,
178,1998-08-24,2.88
179,1998-08-31,
180,1998-09-07,
181,1998-09-14,
182,1998-09-21,
183,1998-09-28,6.48
184,1998-10-05,1.92
185,1998-10-12,5.6
186,1998-10-19,12.54
187,1998-10-26,
188,1998-11-02,
189,1998-11-09,2.4
190,1998-11-16,9.12
191,1998-11-23,0.32
192,1998-11-30,0.8
193,1998-12-07,0.72
194,1998-12-14,2.08
195,1998-12-21,0.56
196,1998-12-28,
197,1999-01-04,0.4
198,1999-01-11,0.64
199,1999-01-18,0.72
200,1999-01-25,0.24
201,1999-02-01,0.48
202,1999-02-08,0.32
203,1999-02-15,0.56
204,1999-02-22,1.0
205,1999-03-01,
206,1999-03-08,2.94
207,1999-03-15,9.3
208,1999-03-22,3.2
209,1999-03-29,1.86
210,1999-04-05,3.28
211,1999-04-12,1.76
212,1999-04-19,1.54
213,1999-04-26,5.12
214,1999-05-03,8.88
215,1999-05-10,0.88
216,1999-05-17,4.56
217,1999-05-24,4.88
218,1999-05-31,0.4
219,1999-06-07,5.04
220,1999-06-14,0.32
221,1999-06-21,0.96
222,1999-06-28,
223,1999-07-05,5.04
224,1999-07-12,19.76
225,1999-07-19,7.76
226,1999-07-26,1.28
227,1999-08-02,3.2
228,1999-08-09,4.32
229,1999-08-16,2.24
230,1999-08-23,0.96
231,1999-08-30,5.12
232,1999-09-06,2.64
233,1999-09-13,4.32
234,1999-09-20,2.16
235,1999-09-27,
236,1999-10-04,1.12
237,1999-10-11,27.56
238,1999-10-18,
239,1999-10-25,0.98
240,1999-11-01,2.32
241,1999-11-08,0.96
242,1999-11-15,0.48
243,1999-11-22,0.64
244,1999-11-29,1.04
245,1999-12-06,0.64
246,1999-12-13,0.4
247,1999-12-20,
248,1999-12-27,
249,2000-01-03,0.72
250,2000-01-10,
251,2000-01-17,0.24
252,2000-01-24,0.72
253,2000-01-31,1.92
254,2000-02-07,
255,2000-02-14,1.52
256,2000-02-21,1.36
257,2000-02-28,2.16
258,2000-03-06,
259,2000-03-13,1.6
260,2000-03-20,1.92
261,2000-03-27,2.0
262,2000-04-03,2.08
263,2000-04-10,0.4
264,2000-04-17,
265,2000-04-24,1.36
266,2000-05-01,1.2
267,2000-05-08,1.44
268,2000-05-15,0.64
269,2000-05-22,5.2
270,2000-05-29,3.28
271,2000-06-05,0.96
272,2000-06-12,4.96
273,2000-06-19,2.72
274,2000-06-26,0.72
275,2000-07-03,3.44
276,2000-07-10,64.72
277,2000-07-17,4.0
278,2000-07-24,2.0
279,2000-07-31,
280,2000-08-07,2.56
281,2000-08-14,
282,2000-08-21,1.6
283,2000-08-28,
284,2000-09-04,1.52
285,2000-09-11,3.84
286,2000-09-18,1.92
287,2000-09-25,
288,2000-10-02,
289,2000-10-09,
290,2000-10-16,1.52
291,2000-10-23,2.32
292,2000-10-30,
293,2000-11-06,1.52
294,2000-11-13,1.12
295,2000-11-20,0.96
296,2000-11-27,
297,2000-12-04,
298,2000-12-11,
299,2000-12-18,0.32
300,2000-12-25,
301,2001-01-01,
302,2001-01-08,
303,2001-01-15,0.24
304,2001-01-22,
305,2001-01-29,1.0
306,2001-02-05,1.36
307,2001-02-12,0.88
308,2001-02-19,1.12
309,2001-02-26,0.84
310,2001-03-05,0.72
311,2001-03-12,2.72
312,2001-03-19,
313,2001-03-26,
314,2001-04-02,2.72
315,2001-04-09,0.56
316,2001-04-16,1.6
317,2001-04-23,3.2
318,2001-04-30,1.84
319,2001-05-07,4.930000000000001
320,2001-05-14,3.7600000000000002
321,2001-05-21,7.264444444444444
322,2001-05-28,8.83
323,2001-06-04,5.12
324,2001-06-11,1.94
325,2001-06-18,
326,2001-06-25,10.16
327,2001-07-02,2.48
328,2001-07-09,8.08
329,2001-07-16,4.88
330,2001-07-23,3.68
331,2001-07-30,19.94
332,2001-08-06,4.4
333,2001-08-13,18.14
334,2001-08-20,10.4
335,2001-08-27,
336,2001-09-03,2.56
337,2001-09-10,1.44
338,2001-09-17,1.52
339,2001-09-24,1.52
340,2001-10-01,
341,2001-10-08,2.0
342,2001-10-15,
343,2001-10-22,2.4
344,2001-10-29,9.76
