attractor,values
Colpitts_x_2,"[8.7869304, 8.786882741193937, 8.786836368775683, 8.786791285388054, 8.78674749367108, 8.786704996261303, 8.786663795792531, 8.78662389489514, 8.786585296196487, 8.786548002320714, 8.786512015888615, 8.786477339518035, 8.786443975823126, 8.786411927415147, 8.786381196901727, 8.786351786887304, 8.786323699972915, 8.786296938756065, 8.786271505831138, 8.786247403788623, 8.786224635215962, 8.786203202696749, 8.786183108811231, 8.786164356136066, 8.78614694724418, 8.786130884705223, 8.786116171084736, 8.786102808945055, 8.786090800844462, 8.78608014933773, 8.786070856975838, 8.78606292630586, 8.786056359871411, 8.786051160211798, 8.786047329862962, 8.78604487135658, 8.786043787220652, 8.78604407997919, 8.786045752152116, 8.786048806255716, 8.786053244801764, 8.786059070298506, 8.786066285249715, 8.786074892155318, 8.786084893511056, 8.786096291808395, 8.786109089534992, 8.78612328917378, 8.786138893204004, 8.786155904100225, 8.786174324332988, 8.786194156368456, 8.78621540266833, 8.78623806569032, 8.786262147887209, 8.786287651707934, 8.78631457959652, 8.78634293399282, 8.786372717332105, 8.786403932044989, 8.786436580557922, 8.786470665292216, 8.786506188665175, 8.786543153088974, 8.786581560971454, 8.786621414715661, 8.786662716719805, 8.786705469377752, 8.786749675078017, 8.786795336204946, 8.786842455137535, 8.786891034250283, 8.786941075912686, 8.786992582489225, 8.787045556339839, 8.787099999818922, 8.787155915276529, 8.787213305057145, 8.787272171500591, 8.78733251694148, 8.787394343709224, 8.787457654128508, 8.787522450518262, 8.78758873519291, 8.787656510461092, 8.78772577862661, 8.787796541987854, 8.787868802837824, 8.78794256346461, 8.788017826150336, 8.788094593172456, 8.788172866802414, 8.788252649306653, 8.788333942945995, 8.78841674997568, 8.788501072645856, 8.788586913200495, 8.788674273878732, 8.788763156913472, 8.788853564532427]"
Coullet_x_0,"[0.34539837958549907, 0.34589265719739554, 0.3463870501146311, 0.34688155791512526, 0.3473761801774606, 0.3478709164803589, 0.34836576640287026, 0.34886072952475444, 0.349355805425926, 0.34985099368653866, 0.35034629388748506, 0.3508417056098832, 0.35133722843503434, 0.3518328619449014, 0.3523286057217991, 0.35282445934825446, 0.35332042240722117, 0.3538164944822446, 0.354312675157015, 0.354808964015556, 0.3553053606425868, 0.3558018646229754, 0.35629847554183525, 0.3567951929850111, 0.35729201653856135, 0.357788945788728, 0.3582859803224216, 0.35878311972688537, 0.3592803635895637, 0.3597777114983557, 0.36027516304171625, 0.36077271780825065, 0.3612703753869021, 0.36176813536729396, 0.36226599733919307, 0.3627639608926175, 0.36326202561830795, 0.3637601911072067, 0.3642584569504413, 0.36475682273981186, 0.3652552880674324, 0.36575385252560877, 0.36625251570712597, 0.36675127720529, 0.3672501366135628, 0.367749093525748, 0.3682481475363129, 0.3687472982398635, 0.3692465452312627, 0.36974588810608533, 0.37024532646009684, 0.3707448598892494, 0.3712444879901699, 0.3717442103597808, 0.372244026595188, 0.3727439362939982, 0.3732439390543051, 0.37374403447436405, 0.3742442221527748, 0.3747445016887835, 0.37524487268177087, 0.37574533473137967, 0.37624588743795234, 0.37674653040201145, 0.37724726322426877, 0.3777480855061097, 0.3782489968491978, 0.37874999685537336, 0.37925108512699507, 0.3797522612668763, 0.38025352487799763, 0.3807548755636859, 0.3812563129278962, 0.38175783657471457, 0.3822594461084938, 0.3827611411342727, 0.3832629212572604, 0.38376478608285763, 0.38426673521713584, 0.3847687682664277, 0.38527088483723665, 0.3857730845365996, 0.3862753669719766, 0.3867777317510008, 0.38728017848165175, 0.38778270677251914, 0.38828531623232015, 0.3887880064700431, 0.38929077709534715, 0.38979362771805265, 0.39029655794817414, 0.3907995673963917, 0.39130265567363043, 0.3918058223909815, 0.39230906716008096, 0.39281238959295833, 0.3933157893018213, 0.39381926589922395, 0.3943228189983111, 0.39482644821231316]"
Coullet_x_1,"[0.4284701181998099, 0.42857026662906905, 0.4286700490560181, 0.42876946581436953, 0.4288685172374088, 0.42896720365832985, 0.42906552541011655, 0.4291634828252823, 0.42926107623623655, 0.429358305975232, 0.4294551723740198, 0.4295516757641959, 0.4296478164772327, 0.42974359484414354, 0.4298390111956939, 0.4299340658624993, 0.4300287591748751, 0.4301230914627095, 0.430217063055785, 0.43031067428364517, 0.43040392547531964, 0.43049681695972647, 0.4305893490656047, 0.4306815221211404, 0.4307733364543565, 0.43086479239313835, 0.4309558902648556, 0.4310466303966183, 0.43113701311537944, 0.431227038747736, 0.43131670761984126, 0.43140602005772727, 0.43149497638715756, 0.43158357693334054, 0.431671822021366, 0.4317597119761207, 0.4318472471218891, 0.43193442778278573, 0.43202125428277227, 0.43210772694523863, 0.4321938460933055, 0.43227961204992904, 0.43236502513765207, 0.4324500856785608, 0.4325347939946035, 0.4326191504074299, 0.4327031552380959, 0.43278680880753134, 0.43287011143643855, 0.4329530634448698, 0.43303566515270137, 0.4331179168796408, 0.4331998189447684, 0.4332813716668871, 0.4333625753646281, 0.4334434303561505, 0.43352393695914726, 0.4336040954911553, 0.43368390626938325, 0.43376336961040884, 0.43384248583067697, 0.43392125524637903, 0.43399967817301055, 0.4340777549258864, 0.4341554858201352, 0.4342328711702039, 0.4343099112902561, 0.43438660649427546, 0.43446295709571436, 0.4345389634075522, 0.43461462574259374, 0.43468994441328507, 0.43476491973140674, 0.43483955200859953, 0.4349138415562238, 0.43498778868490073, 0.43506139370506625, 0.4351346569269518, 0.43520757866005405, 0.43528015921358126, 0.4353523988965541, 0.43542429801740096, 0.4354958568840748, 0.43556707580433285, 0.4356379550855441, 0.4357084950343796, 0.43577869595736307, 0.43584855816071044, 0.43591808194985704, 0.43598726763004925, 0.4360561155063095, 0.43612462588287365, 0.43619279906368585, 0.4362606353524939, 0.4363281350523928, 0.4363952984660016, 0.43646212589572214, 0.436528617643538, 0.4365947740107049, 0.4366605952983733]"
Coullet_x_2,"[0.086983698175975, 0.08666624316190027, 0.0863490775101954, 0.08603220100834336, 0.08571561344077525, 0.08539931459128056, 0.08508330424213897, 0.0847675821723671, 0.08445214816027082, 0.08413700198305563, 0.08382214341453628, 0.08350757222749232, 0.08319328819386333, 0.0828792910825549, 0.08256558066086034, 0.08225215669510062, 0.08193901894964346, 0.08162616718614894, 0.0813136011656145, 0.08100132064751246, 0.0806893253881377, 0.0803776151431051, 0.08006618966690866, 0.07975504871070435, 0.07944419202467524, 0.07913361935816612, 0.07882333045747468, 0.07851332506738448, 0.07820360293176194, 0.07789416379240431, 0.0775850073885808, 0.07727613345887671, 0.07696754174034064, 0.07665923196693235, 0.07635120387195962, 0.07604345718758952, 0.0757359916427108, 0.07542880696529813, 0.07512190288248657, 0.07481527911836255, 0.07450893539559231, 0.07420287143597296, 0.07389708695913301, 0.07359158168234492, 0.07328635532217587, 0.07298140759364857, 0.07267673820878834, 0.07237234687899353, 0.0720682333145032, 0.07176439722234425, 0.07146083830868469, 0.07115755627884934, 0.07085455083512364, 0.07055182167846256, 0.07024936850899349, 0.06994719102459152, 0.06964528892094012, 0.06934366189299615, 0.06904230963416837, 0.06874123183496159, 0.06844042818527617, 0.068139898373836, 0.06783964208622492, 0.06753965900721955, 0.06723994882074781, 0.06694051120771778, 0.06664134584779267, 0.06634245241984346, 0.06604383060042046, 0.06574548006403932, 0.06544740048446784, 0.06514959153392627, 0.06485205288182612, 0.06455478419699438, 0.06425778514706634, 0.06396105539661454, 0.06366459460945263, 0.06336840244853861, 0.06307247857383982, 0.06277682264416015, 0.06248143431754115, 0.06218631324964987, 0.06189145909426838, 0.06159687150440966, 0.061302550131544245, 0.06100849462443037, 0.06071470463125921, 0.06042117979901725, 0.06012791977171028, 0.05983492419263017, 0.059542192704205264, 0.05924972494591137, 0.05895752055613825, 0.05866557917253818, 0.05837390043034905, 0.05808248396306623, 0.057791329403395, 0.05750043638250781, 0.05720980452896213, 0.05691943347093763]"
Dadras_x_0,"[1.0284085, 1.0285818717675925, 1.028760612372947, 1.028944740650245, 1.0291342755660893, 1.0293292362200102, 1.0295296418453295, 1.0297355118105271, 1.0299468656207942, 1.0301637229174874, 1.0303861034797517, 1.0306140272250086, 1.030847514209861, 1.031086584632351, 1.031331258831571, 1.0315815572889417, 1.031837500628948, 1.0320991096199479, 1.0323664051754273, 1.0326394083561625, 1.032918140369238, 1.0332026225700532, 1.0334928764627536, 1.0337889237012146, 1.0340907860911075, 1.0343984855904298, 1.0347120443100022, 1.0350314845147188, 1.035356828624303, 1.0356880992144686, 1.0360253190196664, 1.0363685109316927, 1.0367176980021178, 1.037072903442639, 1.0374341506261509, 1.0378014630886407, 1.0381748645305833, 1.0385543788167506, 1.0389400299779536, 1.0393318422117455, 1.0397298398835426, 1.0401340475297447, 1.040544489856333, 1.0409611917413857, 1.0413841782355253, 1.041813474563042, 1.0422491061236385, 1.0426910984946411, 1.043139477430204, 1.0435942688635362, 1.0440554989075455, 1.0445231938560573, 1.0449973801866803, 1.0454780845606333, 1.0459653338241703, 1.0464591550097206, 1.0469595753369474, 1.0474666222143614, 1.0479803232423095, 1.04850070621163, 1.0490277991063874, 1.0495616301044413, 1.0501022275787728, 1.0506496201001179, 1.0512038364379575, 1.0517649055609766, 1.0523328566388575, 1.0529077190432772, 1.0534895223494092, 1.0540782963396647, 1.0546740710018265, 1.0552768765323464, 1.0558867433368109, 1.0565037020313859, 1.0571277834452424, 1.0577590186226478, 1.0583974388225696, 1.0590430755211035, 1.0596959604124037, 1.0603561254101934, 1.0610236026517421, 1.061698424496488, 1.0623806235289688, 1.063070232559659, 1.0637672846264368, 1.0644718129968318, 1.065183851171157, 1.0659034328813561, 1.066630592094065, 1.0673653630114672, 1.068107780072939, 1.0688578779587123, 1.069615691590061, 1.070381256130872, 1.0711546069893683, 1.0719357798194937, 1.0727248105230083, 1.073521735253618, 1.0743265904151282, 1.0751394126652685]"
Dadras_x_1,"[-3.5348655, -3.5388072641339074, -3.5427533455111506, -3.5467037462272892, -3.5506584683643094, -3.554617513990479, -3.558580885160173, -3.562548583913635, -3.5665206122767263, -3.570496972260888, -3.5744776658628776, -3.578462695064623, -3.5824520618330324, -3.586445768119656, -3.590443815860631, -3.594446206976444, -3.598452943371758, -3.6024640269352224, -3.6064794595392398, -3.61049924303962, -3.6145233792755933, -3.6185518700694814, -3.622584717226552, -3.626621922534803, -3.6306634877646213, -3.6347094146686185, -3.63875970498147, -3.6428143604196634, -3.6468733826813073, -3.6509367734458875, -3.65500453437383, -3.659076667106563, -3.6631531732661156, -3.6672340544549664, -3.671319312255805, -3.6754089482311922, -3.679502963923268, -3.6836013608536713, -3.687704140523206, -3.6918113044116443, -3.6959228539774687, -3.7000387906573615, -3.704159115866266, -3.7082838309969515, -3.712412937419834, -3.716546436482716, -3.7206843295104424, -3.7248266178044838, -3.728973302642926, -3.73312438528005, -3.7372798669461265, -3.7414397488471307, -3.7456040321642297, -3.7497727180536806, -3.7539458076465113, -3.7581233020482365, -3.7623052023385872, -3.7664915095711584, -3.770682224772862, -3.774877348943983, -3.7790768830576655, -3.783280828059699, -3.787489184868199, -3.791701954373095, -3.795919137435852, -3.8001407348892666, -3.80436674753707, -3.808597176153646, -3.812832021483672, -3.817071284241426, -3.821314965110917, -3.825563064745256, -3.829815583766441, -3.8340725227649943, -3.838333882299454, -3.842599662895904, -3.846869865047886, -3.8511444892158795, -3.8554235358270046, -3.8597070052746405, -3.8639948979176544, -3.868287214080454, -3.872583954052377, -3.876885118087399, -3.8811907064037436, -3.8855007191833684, -3.8898151565712977, -3.894134018675645, -3.898457305566953, -3.902785017277892, -3.907117153802826, -3.911453715097045, -3.915794701076561, -3.920140111617675, -3.9244899465565237, -3.9288442056886685, -3.933202888768575, -3.937565995508739, -3.941933525579816, -3.946305478609789]"
Dadras_x_2,"[-0.72081646, -0.7213332268341299, -0.7218530818918564, -0.7223760396015204, -0.722902114483789, -0.7234313211520322, -0.7239636743129522, -0.7244991887675609, -0.7250378794122916, -0.7255797612386429, -0.7261248493343379, -0.7266731588836899, -0.7272247051682603, -0.7277795035684628, -0.7283375695633164, -0.7288989187313655, -0.7294635667512195, -0.730031529402144, -0.7306028225649641, -0.7311774622236042, -0.7317554644644255, -0.7323368454776576, -0.7329216215577249, -0.733509809103961, -0.7341014246220826, -0.7346964847245869, -0.7352950061311254, -0.7358970056694057, -0.7365025002757475, -0.7371115069959218, -0.7377240429871039, -0.7383401255169235, -0.7389597719651941, -0.739582999824186, -0.7402098266994035, -0.7408402703109415, -0.7414743484944918, -0.7421120792012351, -0.7427534804990898, -0.7433985705732322, -0.7440473677269096, -0.744699890383661, -0.7453561570863569, -0.746016186498994, -0.7466799974070356, -0.7473476087182274, -0.7480190394638513, -0.7486943088003092, -0.7493734360085873, -0.7500564404958501, -0.7507433417959196, -0.7514341595701604, -0.7521289136095233, -0.7528276238344511, -0.7535303102959078, -0.7542369931762086, -0.7549476927897912, -0.7556624295843799, -0.7563812241431205, -0.7571040971836576, -0.7578310695600892, -0.7585621622633945, -0.7592973964223952, -0.760036793305642, -0.7607803743221391, -0.7615281610216942, -0.7622801750962122, -0.7630364383804231, -0.7637969728529712, -0.7645618006390851, -0.7653309440092839, -0.7661044253817354, -0.7668822673226099, -0.7676644925471278, -0.7684511239213025, -0.7692421844634453, -0.7700376973439115, -0.7708376858868441, -0.7716421735708576, -0.7724511840301342, -0.7732647410572652, -0.774082868602302, -0.7749055907748587, -0.7757329318447287, -0.7765649162429518, -0.7774015685634308, -0.77824291356518, -0.7790889761715328, -0.779939781472338, -0.7807953547245914, -0.7816557213536287, -0.7825209069557495, -0.7833909372983763, -0.7842658383211949, -0.7851456361374006, -0.7860303570347099, -0.7869200274768696, -0.7878146741066191, -0.7887143237444022, -0.7896190033911104]"
DequanLi_x_0,"[-11.395722, -11.464090003820374, -11.53245446250602, -11.600815273737284, -11.669172335172584, -11.73752554445934, -11.805874799215818, -11.874219997048288, -11.942561035543012, -12.010897812260811, -12.079230224752468, -12.14755817053864, -12.215881547124713, -12.284200251998273, -12.352514182617345, -12.420823236428976, -12.489127310852137, -12.557426303284874, -12.625720111110356, -12.694008631678688, -12.76229176232678, -12.830569400366823, -12.898841443083674, -12.967107787749773, -13.035368331602163, -13.103622971862368, -13.17187160572919, -13.240114130369303, -13.308350442937417, -13.376580440553317, -13.444804020316404, -13.513021079306569, -13.58123151456736, -13.649435223127972, -13.717632101987212, -13.78582204811577, -13.854004958468494, -13.922180729960308, -13.990349259490003, -14.058510443928439, -14.126664180112456, -14.194810364865031, -14.262948894967975, -14.331079667183193, -14.399202578247817, -14.467317524859752, -14.535424403702477, -14.603523111420877, -14.671613544633113, -14.739695599936729, -14.807769173885767, -14.875834163016876, -14.943890463833558, -15.011937972803986, -15.079976586379548, -15.148006200965124, -15.216026712945814, -15.284038018676265, -15.352040014469909, -15.42003259662459, -15.488015661392108, -15.555989104998892, -15.623952823645226, -15.69190671348494, -15.759850670654036, -15.827784591247887, -15.895708371327364, -15.963621906932168, -16.031525094051247, -16.09941782865327, -16.16730000667065, -16.23517152399338, -16.303032276493518, -16.370882159990668, -16.438721070280092, -16.50654890312485, -16.574365554239264, -16.64217091931977, -16.709964894013194, -16.77774737393425, -16.84551825467084, -16.913277431757084, -16.98102480070541, -17.048760256986444, -17.116483696027746, -17.184195013235417, -17.25189410395795, -17.319580863519924, -17.387255187207387, -17.454916970256395, -17.52256610788366, -17.590202495248516, -17.657826027480304, -17.7254365996752, -17.793034106873048, -17.860618444092548, -17.92818950630103, -17.995747188425806, -18.06329138536606, -18.13082199196177]"
DequanLi_x_1,"[-104.12614, -104.13279487628293, -104.13927815538831, -104.14558971159798, -104.15172941905364, -104.15769715182678, -104.16349278380963, -104.16911618882216, -104.17456724056484, -104.17984581259111, -104.18495177839642, -104.1898850113083, -104.19464538457112, -104.19923277133262, -104.20364704458588, -104.20788807726704, -104.21195574217019, -104.2158499119863, -104.21957045933317, -104.2231172566719, -104.2264901764023, -104.22968909081051, -104.23271387206113, -104.23556439226347, -104.23824052337527, -104.24074213728926, -104.24306910580377, -104.24522130058821, -104.24719859326417, -104.24900085531831, -104.25062795816052, -104.25207977312748, -104.25335617142466, -104.2544570242066, -104.25538220252191, -104.25613157732425, -104.2567050195138, -104.25710239986161, -104.25732358908766, -104.25736845782454, -104.25723687660233, -104.25692871590931, -104.25644384611492, -104.25578213753258, -104.25494346040661, -104.25392768487619, -104.2527346810423, -104.25136431890688, -104.24981646840541, -104.24809099942237, -104.24618778173931, -104.2441066850977, -104.24184757916372, -104.2394103335266, -104.23679481773905, -104.23400090125756, -104.23102845349891, -104.2278773438195, -104.22454744149779, -104.2210386157829, -104.21735073584155, -104.2134836707966, -104.20943728972618, -104.20521146163307, -104.20080605549187, -104.19622094021487, -104.19145598466395, -104.18651105767016, -104.18138602799529, -104.17608076437453, -104.17059513549636, -104.1649290099979, -104.15908225649468, -104.15305474354342, -104.14684633967487, -104.14045691338593, -104.13388633312613, -104.12713446732788, -104.12020118437944, -104.11308635264227, -104.10578984045573, -104.09831151611894, -104.09065124791584, -104.08280890410198, -104.07478435290665, -104.06657746254605, -104.05818810120591, -104.04961613706034, -104.04086143826552, -104.03192387295769, -104.02280330926553, -104.01349961529921, -104.00401265916062, -103.99434230894292, -103.98448843272823, -103.97445089859512, -103.96422957461559, -103.9538243288586, -103.94323502939132, -103.93246154428081]"
DequanLi_x_2,"[202.46173, 202.48648048193763, 202.51133525356573, 202.5362941926553, 202.56135717608547, 202.58652408028772, 202.61179478053447, 202.63716915162703, 202.66264706758443, 202.68822840145037, 202.71391302588353, 202.73970081241097, 202.76559163199371, 202.79158535493372, 202.81768185046104, 202.8438809874094, 202.87018263361225, 202.8965866561685, 202.92309292165467, 202.94970129550944, 202.97641164272187, 203.00322382744326, 203.03013771291384, 203.05715316195955, 203.0842700362481, 203.11148819694478, 203.13880750448183, 203.1662278182719, 203.19374899734876, 203.22137089965676, 203.24909338251172, 203.27691630262868, 203.3048395156225, 203.33286287667676, 203.36098624006854, 203.38920945924738, 203.41753238719653, 203.4459548757443, 203.47447677625635, 203.50309793930074, 203.5318182144881, 203.56063745103876, 203.58955549703282, 203.61857220000405, 203.64768740680825, 203.67690096324318, 203.70621271471896, 203.73562250561957, 203.7651301796261, 203.7947355798779, 203.824438548388, 203.85423892672264, 203.8841365556003, 203.9141312748474, 203.9442229238663, 203.9744113409022, 204.00469636371207, 204.03507782930362, 204.06555557368367, 204.0961294324807, 204.12679924022027, 204.15756483082535, 204.18842603759947, 204.21938269275904, 204.25043462810567, 204.2815816745021, 204.31282366202146, 204.34416042025316, 204.3755917776414, 204.4071175621761, 204.43873760103813, 204.470451720472, 204.50225974632667, 204.53416150330855, 204.5661568155976, 204.5982455066796, 204.63042739900123, 204.66270231462875, 204.6950700745835, 204.72753049921613, 204.760083408318, 204.79272862057132, 204.8254659542142, 204.8582952266315, 204.89121625433808, 204.92422885341534, 204.9573328387951, 204.990528024935, 205.02381422553123, 205.05719125330168, 205.09065892058635, 205.12421703861557, 205.15786541804349, 205.19160386888893, 205.22543220010218, 205.259350220234, 205.29335773687112, 205.327454556855, 205.3616404865045, 205.39591533104863]"
DoubleGyre_x_0,"[1.5327241, 1.531847353655464, 1.5309706396720353, 1.5300939637831827, 1.5292173317091955, 1.5283407491632963, 1.527464221841001, 1.526587755430493, 1.5257113556070088, 1.524835028030781, 1.5239587783553, 1.523082612214975, 1.5222065352356167, 1.521330553030398, 1.5204546711951625, 1.5195788953190157, 1.5187032309713773, 1.5178276837111255, 1.516952259085248, 1.516076962621153, 1.5152017998389165, 1.5143267762393682, 1.513451897310079, 1.5125771685278009, 1.5117025953477723, 1.5108281832163928, 1.5099539375625954, 1.509079863798472, 1.5082059673265442, 1.5073322535259777, 1.5064587277663493, 1.5055853954001799, 1.5047122617606334, 1.5038393321720516, 1.5029666119342138, 1.5020941063359996, 1.5012218206500227, 1.5003497601270708, 1.4994779300093835, 1.4986063355143733, 1.4977349818464443, 1.4968638741950029, 1.4959930177253007, 1.4951224175935767, 1.4942520789321947, 1.4933820068575259, 1.4925122064725427, 1.4916426828541423, 1.4907734410686782, 1.4899044861610875, 1.48903582315639, 1.4881674570679508, 1.4872993928813194, 1.48643163557069, 1.4855641900898986, 1.4846970613700778, 1.4838302543318571, 1.48296377386702, 1.4820976248547124, 1.4812318121549213, 1.4803663406024092, 1.479501215021978, 1.4786364402096122, 1.4777720209464906, 1.4769079619963421, 1.476044268095334, 1.4751809439693737, 1.474317994316915, 1.4734554238184958, 1.4725932371392372, 1.471731438914842, 1.4708700337692775, 1.470009026302034, 1.4691484210905894, 1.4682882226991554, 1.4674284356609324, 1.4665690644965088, 1.465710113703686, 1.4648515877552535, 1.4639934911122512, 1.4631358282038454, 1.4622786034453994, 1.4614218212310148, 1.4605654859272905, 1.4597096018898623, 1.4588541734427678, 1.4579992048941033, 1.457144700532757, 1.456290664617834, 1.4554371013973595, 1.4545840150894314, 1.4537314098930916, 1.4528792899905427, 1.4520276595325312, 1.4511765226572022, 1.4503258834754238, 1.4494757460786556, 1.4486261145354278, 1.447776992892536, 1.4469283851748724]"
DoubleGyre_x_1,"[0.99802126, 0.9980211846170287, 0.9980210945268553, 0.9980209897441873, 0.9980208702835541, 0.9980207361593899, 0.9980205873858972, 0.9980204239771842, 0.998020245947194, 0.9980200533096827, 0.9980198460783231, 0.9980196242665564, 0.9980193878877218, 0.998019136955009, 0.9980188714814066, 0.9980185914798259, 0.9980182969629559, 0.9980179879433684, 0.9980176644335037, 0.99801732644559, 0.9980169739917767, 0.998016607084009, 0.9980162257340937, 0.9980158299537252, 0.9980154197543784, 0.998014995147439, 0.9980145561441176, 0.9980141027554589, 0.9980136349924136, 0.9980131528657067, 0.9980126563859715, 0.9980121455636795, 0.9980116204091207, 0.9980110809325035, 0.9980105271438098, 0.9980099590529229, 0.9980093766695788, 0.9980087800033187, 0.9980081690636079, 0.9980075438596936, 0.9980069044007102, 0.998006250695662, 0.9980055827533473, 0.9980049005824874, 0.9980042041916027, 0.9980034935890805, 0.9980027687831963, 0.9980020297820117, 0.9980012765935024, 0.9980005092254701, 0.997999727685557, 0.9979989319813117, 0.9979981221200627, 0.9979972981090487, 0.9979964599553496, 0.9979956076658688, 0.9979947412474286, 0.99799386070663, 0.9979929660499781, 0.9979920572838327, 0.9979911344143636, 0.9979901974476663, 0.9979892463896216, 0.9979882812460014, 0.9979873020224487, 0.9979863087244052, 0.9979853013572378, 0.9979842799261148, 0.9979832444360756, 0.9979821948920489, 0.9979811312987541, 0.9979800536608271, 0.9979789619827312, 0.997977856268775, 0.9979767365231741, 0.9979756027499284, 0.9979744549529503, 0.9979732931359951, 0.997972117302646, 0.9979709274564057, 0.9979697236005598, 0.9979685057383, 0.9979672738726741, 0.9979660280065448, 0.997964768142701, 0.99796349428372, 0.9979622064320732, 0.997960904590104, 0.9979595887599587, 0.9979582589437103, 0.9979569151432349, 0.9979555573602835, 0.9979541855964973, 0.9979527998533116, 0.9979514001320804, 0.9979499864339803, 0.9979485587600624, 0.9979471171112301, 0.9979456614882465, 0.9979441918917343]"
DoubleGyre_x_2,"[0.5095202815740733, 0.5080105279554563, 0.50649921200125, 0.5049863383593556, 0.5034719116824647, 0.5019559366280452, 0.5004384178583267, 0.4989193600402864, 0.49739876784563497, 0.4958766459508015, 0.4943529990369198, 0.4928278317898136, 0.4913011488999823, 0.48977295506258645, 0.4882432549774334, 0.4867120533489629, 0.48517935488623243, 0.4836451643029029, 0.482109486317224, 0.4805723256520199, 0.4790336870346745, 0.47749357519711716, 0.4759519948758077, 0.4744089508117224, 0.4728644477503389, 0.47131849044162205, 0.46977108364000897, 0.4682222321043945, 0.46667194059811673, 0.46512021388894226, 0.46356705674905135, 0.4620124739550236, 0.4604564702878228, 0.4588990505327829, 0.45734021947959247, 0.45577998192228064, 0.454218342659202, 0.45265530649261654, 0.4510908782307021, 0.449525062683485, 0.4479578646664733, 0.44638928900064756, 0.44481934050837835, 0.4432480240191062, 0.4416753443652588, 0.44010130638223127, 0.43852591491204407, 0.43694917479924816, 0.4353710908929501, 0.4337916680463892, 0.4322109111169225, 0.4306288249660099, 0.42904541445919914, 0.427460684466111, 0.4258746398604241, 0.4242872855198601, 0.4226986263261685, 0.42110866716511186, 0.4195174129264506, 0.4179248685039281, 0.4163310387952555, 0.41473592870209663, 0.41313954313005324, 0.41154188698864946, 0.409942965191317, 0.4083427826553801, 0.4067413443020401, 0.40513865505636054, 0.40353471984725203, 0.40192954360745686, 0.40032313127353414, 0.39871548778584437, 0.39710661808853437, 0.39549652712952205, 0.39388521986048114, 0.3922727012368261, 0.3906589762176968, 0.3890440497659431, 0.38742792684810984, 0.38581061243442155, 0.384192111498767, 0.38257242901868393, 0.38095156997534396, 0.379329539353537, 0.3777063421416561, 0.3760819833316819, 0.37445646791916765, 0.37282980090322343, 0.37120198728650095, 0.36957303207517833, 0.3679429402789445, 0.3663117169109837, 0.36467936698796033, 0.36304589553000344, 0.3614113075606912, 0.35977560810703535, 0.3581388021994662, 0.3565008948718166, 0.35486189116130673, 0.3532217961085287]"
DoublePendulum_x_0,"[-0.34500569228651307, -0.34477212201019175, -0.3445369126361615, -0.3443000774783098, -0.34406162990207195, -0.34382158332452145, -0.34357995121445956, -0.34333674709249773, -0.3430919845311593, -0.3428456771549404, -0.34259783864043036, -0.34234848271636464, -0.3420976231637305, -0.3418452738158449, -0.3415914485584391, -0.34133616132974176, -0.3410794261205682, -0.3408212569743824, -0.3405616679874117, -0.34030067330869324, -0.34003828714017376, -0.33977452373678846, -0.3395093974065387, -0.3392429225105623, -0.3389751134632169, -0.33870598473216135, -0.33843555083842414, -0.3381638263564834, -0.33789082591433295, -0.33761656419357455, -0.33734105592946834, -0.3370643159110235, -0.3367863589810601, -0.3365072000362778, -0.33622685402732305, -0.33594533595887516, -0.33566266088969865, -0.3353788439327207, -0.3350939002550749, -0.33480784507819683, -0.33452069367787207, -0.33423246138430374, -0.3339431635821714, -0.33365281571068994, -0.3333614332636867, -0.3330690317896514, -0.33277562689179113, -0.3324812342280849, -0.33218586951136353, -0.3318895485093416, -0.33159228704468197, -0.3312941009950525, -0.33099500629318157, -0.3306950189269058, -0.330394154939217, -0.3300924304283542, -0.32978986154770784, -0.3294864645061243, -0.32918225556774683, -0.32887725105211735, -0.3285714673342293, -0.32826492084451986, -0.32795762806908174, -0.3276496055495589, -0.3273408698831817, -0.32703143772287485, -0.32672132577719637, -0.32641055081058423, -0.32609912964321897, -0.32578707915107985, -0.32547441626602697, -0.32516115797573386, -0.32484732132394845, -0.3245329234103498, -0.32421798139056446, -0.3239025124762961, -0.3235865339352321, -0.32327006309128503, -0.3229531173244497, -0.3226357140708402, -0.3223178708227867, -0.3219996051287559, -0.3216809345935796, -0.32136187687830514, -0.3210424497002471, -0.32072267083305006, -0.32040255810663026, -0.320082129407384, -0.3197614026780658, -0.31944039591777934, -0.3191191271821086, -0.3187976145829917, -0.3184758762889439, -0.3181539305249625, -0.317831795572498, -0.3175094897695385, -0.31718703151055777, -0.31686443924670477, -0.31654173148565534, -0.3162189267916436]"
